epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24858.7,1.03446,2.92641,1.41321,0.29628,0.5159,0.42579,0.30015,1.06232,2.27393,1.46453,0.000166132,0.000166132,0.000166132
2,26612.6,1.03871,1.99343,1.40335,0.56253,0.56672,0.60009,0.4197,1.06495,1.85306,1.44035,0.00031962,0.00031962,0.00031962
3,28602.2,1.05958,1.8561,1.41483,0.55331,0.46219,0.53376,0.35991,1.08676,1.88069,1.4541,0.000459908,0.000459908,0.000459908
4,30688.8,1.04235,1.65169,1.38974,0.55306,0.68825,0.64995,0.43761,1.05945,1.41217,1.43622,0.0004406,0.0004406,0.0004406
5,33753.6,1.02426,1.52166,1.37831,0.57763,0.73762,0.69635,0.49041,1.01543,1.34423,1.41126,0.0004208,0.0004208,0.0004208
6,35592.7,0.99906,1.42582,1.35228,0.63886,0.69502,0.67982,0.48887,1.00305,1.17317,1.38024,0.000401,0.000401,0.000401
7,37791.8,0.97414,1.33015,1.33451,0.61188,0.70218,0.72872,0.53483,0.97132,1.08638,1.32602,0.0003812,0.0003812,0.0003812
8,39567.6,0.97031,1.24356,1.32321,0.68989,0.71843,0.75228,0.54683,0.97615,1.06539,1.34912,0.0003614,0.0003614,0.0003614
9,41296.6,0.95347,1.1909,1.31226,0.64863,0.75152,0.73949,0.535,0.99218,1.00648,1.38165,0.0003416,0.0003416,0.0003416
10,43061.5,0.92139,1.12516,1.29342,0.77304,0.75827,0.80434,0.59316,0.93073,0.88644,1.30391,0.0003218,0.0003218,0.0003218
11,67676.4,0.91053,1.06253,1.28218,0.73257,0.81724,0.81963,0.60067,0.94308,0.80614,1.32047,0.000302,0.000302,0.000302
12,267.429,0.89499,1.0064,1.26507,0.79471,0.74028,0.81858,0.62102,0.90073,0.81173,1.28294,0.0002822,0.0002822,0.0002822
13,479.788,0.86141,0.96904,1.25065,0.80755,0.78959,0.85551,0.65329,0.88694,0.75692,1.26908,0.0002624,0.0002624,0.0002624
14,695.68,0.86358,0.94288,1.25272,0.77976,0.79593,0.85389,0.64496,0.912,0.78072,1.30384,0.0002426,0.0002426,0.0002426
15,2944.68,0.83763,0.88812,1.23093,0.79995,0.78941,0.84926,0.65521,0.88536,0.75185,1.25214,0.0002228,0.0002228,0.0002228
16,3103.57,0.76854,0.71703,1.23087,0.76577,0.83511,0.84404,0.65713,0.88875,0.75073,1.27349,0.000203,0.000203,0.000203
17,4108.38,0.74593,0.65896,1.20707,0.82833,0.76284,0.85138,0.67107,0.84254,0.72916,1.22184,0.0001832,0.0001832,0.0001832
18,4260.81,0.72872,0.63334,1.19605,0.86245,0.78054,0.85887,0.67147,0.86356,0.68701,1.24325,0.0001634,0.0001634,0.0001634
19,4429.54,0.70413,0.61024,1.17393,0.83178,0.81314,0.88004,0.69141,0.84756,0.66505,1.23793,0.0001436,0.0001436,0.0001436
20,4612.58,0.69087,0.57023,1.16449,0.83633,0.79355,0.86348,0.6818,0.84337,0.67428,1.22627,0.0001238,0.0001238,0.0001238
21,4995.76,0.67618,0.53754,1.14828,0.88298,0.83449,0.88514,0.7,0.84121,0.62848,1.23018,0.000104,0.000104,0.000104
22,5682.51,0.66283,0.51542,1.13436,0.87387,0.81228,0.88369,0.71729,0.83119,0.62288,1.21563,8.42e-05,8.42e-05,8.42e-05
23,5838.88,0.64866,0.49365,1.12634,0.86003,0.82314,0.88978,0.72225,0.82164,0.61452,1.20986,6.44e-05,6.44e-05,6.44e-05
24,5996.28,0.63791,0.47626,1.1168,0.87024,0.80974,0.88814,0.71746,0.82102,0.61712,1.2046,4.46e-05,4.46e-05,4.46e-05
25,6312.72,0.62405,0.461,1.10697,0.85657,0.83042,0.89042,0.72313,0.81663,0.60311,1.20617,2.48e-05,2.48e-05,2.48e-05
